flex_pinky,flex_ring,flex_middle,flex_index,flex_thumb,touch_index,touch_middle,touch_ring,touch_pinky,touch_r,touch_u,ax,ay,az,gx,gy,gz,label,rep,session,day
1.0,0.950788643533123,0.9903846153846154,0.976905311778291,0.4608695652173913,1.0,1.0,1.0,1.0,1.0,0.0,0.5550537109375,0.0218505859375,0.064208984375,-0.001861572265625,-0.007415771484375,0.002716064453125,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9495268138801262,0.967948717948718,0.9122401847575058,0.4521739130434782,1.0,1.0,1.0,1.0,1.0,0.0,0.5546875,0.046630859375,0.07373046875,-0.014739990234375,-0.012451171875,-0.0037841796875,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9533123028391168,0.9839743589743588,0.9861431870669746,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5533447265625,0.039306640625,0.0697021484375,-0.022064208984375,-0.008636474609375,0.002838134765625,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9533123028391168,0.9583333333333334,0.9353348729792148,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5552978515625,0.0474853515625,0.065673828125,-0.02728271484375,-0.0057373046875,0.005035400390625,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9381703470031546,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.556884765625,0.051025390625,0.0712890625,-0.019439697265625,-0.0052490234375,0.00347900390625,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9356466876971608,0.9775641025641024,0.9861431870669746,0.9304347826086956,1.0,1.0,1.0,1.0,1.0,0.0,0.55810546875,0.0538330078125,0.075439453125,-0.01153564453125,-0.00811767578125,0.003875732421875,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9369085173501576,0.9839743589743588,0.9353348729792148,0.9043478260869564,1.0,1.0,1.0,1.0,1.0,0.0,0.5584716796875,0.0509033203125,0.0687255859375,-0.006683349609375,-0.008392333984375,0.0042724609375,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.919242902208202,0.9583333333333334,0.907621247113164,0.9652173913043478,1.0,1.0,1.0,1.0,1.0,0.0,0.5576171875,0.0472412109375,0.0716552734375,-0.01263427734375,-0.0045166015625,0.001953125,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9242902208201892,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5546875,0.0457763671875,0.07275390625,-0.02020263671875,-0.007659912109375,0.002044677734375,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9394321766561514,0.9807692307692308,0.976905311778291,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.55615234375,0.049072265625,0.0723876953125,-0.023468017578125,-0.010406494140625,0.0057373046875,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.919242902208202,0.969551282051282,0.9122401847575058,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5555419921875,0.04736328125,0.070556640625,-0.015594482421875,-0.009765625,0.007232666015625,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9242902208201892,0.9583333333333334,0.9722863741339492,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5556640625,0.0447998046875,0.0711669921875,-0.014862060546875,-0.007843017578125,0.003143310546875,A,1,2026-08-24_22-04-28,2026-08-24
1.0,0.9230283911671924,0.9631410256410255,0.9722863741339492,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.554931640625,0.048583984375,0.0758056640625,-0.008270263671875,-0.011474609375,0.00469970703125,A,1,2026-08-24_22-04-28,2026-08-24
