Label,Mode,FlexPinky,FlexRing,FlexMiddle,FlexIndex,FlexThumb,TouchIndex,TouchMiddle,TouchRing,TouchPinky,TouchR,TouchU,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
H,1,385,687,1168,447,2741,1,1,1,1,1,0,2032,-14060,-8552,-647,-254,174
H,1,371,814,1215,384,2601,1,1,1,1,1,0,1988,-13968,-8812,-567,-400,127
H,1,386,649,1206,477,2601,1,1,1,1,1,0,1988,-13812,-8808,-554,-216,80
H,1,368,703,1232,494,2611,1,1,1,1,1,0,1812,-13916,-8920,-944,-135,298
H,1,410,553,1197,473,2527,1,1,1,1,1,0,1432,-13744,-8736,-978,-176,573
H,1,435,638,1171,475,2559,1,1,1,1,1,0,1608,-13768,-9032,-673,-328,631
H,1,322,674,1307,541,2535,1,1,1,1,1,0,1984,-13944,-8896,-1118,323,645
H,1,353,726,1210,479,2607,1,1,1,1,1,0,1888,-13960,-8636,-703,331,204
H,1,390,679,1200,475,2608,1,1,1,1,1,0,1976,-13828,-8604,-750,-126,105
H,1,493,589,1249,510,2559,1,1,1,1,1,0,1900,-13644,-8692,-576,-412,-91
H,1,318,800,1185,490,2588,1,1,1,1,1,0,1912,-13548,-8672,-626,-327,-57
H,1,197,705,1278,501,2533,1,1,1,1,1,0,1788,-13508,-8832,-394,-332,-47
H,1,442,756,1175,501,2559,1,1,1,1,1,0,1592,-13536,-8960,-432,-423,191
H,1,385,645,1205,474,2608,1,1,1,1,1,0,1772,-13632,-8868,-152,-440,207
H,1,428,816,1202,560,2623,1,1,1,1,1,0,1884,-13700,-8700,-418,-582,450
H,1,400,699,1103,677,2550,1,1,1,1,1,0,1712,-13896,-8704,-587,-451,714
H,1,345,614,1260,543,2554,1,1,1,1,1,0,1640,-14252,-8956,-587,-773,888
H,1,449,688,1153,490,2609,1,1,1,1,1,0,1584,-14320,-9032,-912,-742,561
H,1,336,650,1274,491,2596,1,1,1,1,1,0,1604,-13948,-9100,-670,118,-325
H,1,449,639,1237,500,2613,1,1,1,1,1,0,1736,-13540,-8788,-621,-238,-92
H,1,434,711,1451,400,2524,1,1,1,1,1,0,1536,-13792,-8796,-776,-306,191
H,1,357,592,1270,595,2559,1,1,1,1,1,0,1524,-13904,-8940,-514,-257,25
H,1,384,667,1219,464,2551,1,1,1,1,1,0,1536,-13576,-8896,-606,-147,-61
H,1,399,666,1191,511,2606,1,1,1,1,1,0,1640,-13520,-8712,-229,-334,13
H,1,510,643,1097,550,2601,1,1,1,1,1,0,1548,-13804,-9020,-557,-304,339
H,1,561,720,895,549,2614,1,1,1,1,1,0,1440,-13844,-8928,-496,-257,171
H,1,347,838,1274,387,2552,1,1,1,1,1,0,1560,-13692,-8828,-306,-274,-90
H,1,384,679,1230,511,2609,1,1,1,1,1,0,1672,-13556,-8812,-455,7,-29
H,1,411,667,1217,499,2622,1,1,1,1,1,0,1584,-13532,-8852,-393,-551,271
H,1,448,688,1043,422,2597,1,1,1,1,1,0,1532,-13620,-8804,-464,-293,421
H,1,405,816,938,495,2609,1,1,1,1,1,0,1576,-13988,-8736,-360,-110,372
H,1,305,724,1257,493,2608,1,1,1,1,1,0,1528,-14116,-8692,-259,-179,162
H,1,414,663,1216,526,2602,1,1,1,1,1,0,1488,-14120,-8728,-520,-280,7
H,1,462,734,1175,470,2626,1,1,1,1,1,0,1588,-13800,-8848,-308,-382,-38
H,1,356,769,1196,447,2512,1,1,1,1,1,0,1736,-13852,-8836,-544,-448,299
H,1,368,593,1413,447,2496,1,1,1,1,1,0,1476,-13956,-8960,-744,-465,235
H,1,407,552,1222,491,2582,1,1,1,1,1,0,1452,-13764,-8976,-524,-224,-63
H,1,402,698,1206,464,2620,1,1,1,1,1,0,1496,-13872,-8640,-567,-301,60
H,1,399,634,1198,496,2606,1,1,1,1,1,0,1548,-13864,-8464,-429,-581,-46
H,1,128,674,1186,527,2612,1,1,1,1,1,0,1396,-13760,-8628,-677,-613,146
H,1,891,624,1071,360,2698,1,1,1,1,1,0,1472,-13888,-8952,-424,-459,-1
H,1,359,803,1103,432,2600,1,1,1,1,1,0,1572,-13876,-8796,-577,-494,130
